Severity,Time,Recovery time,Status,Host,Problem,Duration,Ack,Actions,Tags
Average,2026-06-22 15:31:02,2026-06-22 15:34:02,RESOLVED,KOERI,"Station is not accessible, return code 503",3m,No,Actions (8),"healtcheck, webservice: station"
Warning,2026-06-22 15:13:28,2026-06-22 17:08:06,RESOLVED,KOERI,Local routing information not published,1h 54m 38s,No,Actions (8),"Application: static_routing, format: xml, routing: local"
Average,2026-06-21 23:03:20,2026-06-21 23:06:20,RESOLVED,KOERI,"Availability is not accessible, return code 503",3m,No,Actions (8),"healtcheck, webservice: availability"
Warning,2026-06-20 17:02:44,,PROBLEM,IGN,IGN disapeared from EIDA central routing service,2d 3h 30m,No,Actions (3),"format: json, routing: central"
High,2026-06-19 10:57:52,,PROBLEM,IGN,Certificate: SSL certificate is invalid,3d 9h 35m,No,Actions (3),"class: software, component: cert, scope: security, target: certificate"
Warning,2026-06-19 07:08:18,2026-06-20 17:03:15,RESOLVED,BGR,Network code GR missing in central routing for webservice station,1d 9h 54m,No,Actions (8),"format: xml, routing: central"
Warning,2026-06-18 13:52:58,2026-06-18 14:00:56,RESOLVED,Zabbix server,Linux: High swap space usage (less than 50% free),7m 58s,No,,"class: os, component: memory, component: storage, scope: capacity, target: linux"
Warning,2026-06-17 13:45:09,,PROBLEM,IGN,Certificate: SSL certificate expires soon (less than 7 days),5d 6h 48m,No,Actions (3),"class: software, component: cert, scope: notice, target: certificate"
Warning,2026-06-17 05:08:17,2026-06-17 07:03:14,RESOLVED,NIEP,Network code RO missing in central routing for webservice station,1h 54m 57s,No,Actions (6),"format: xml, routing: central"
Warning,2026-06-17 05:08:16,2026-06-17 07:03:13,RESOLVED,NOA,Network code HL missing in central routing for webservice station,1h 54m 57s,No,Actions (6),"format: xml, routing: central"
Warning,2026-06-17 05:08:15,2026-06-17 07:03:12,RESOLVED,IGN,Network code ES missing in central routing for webservice station,1h 54m 57s,No,Actions (6),"format: xml, routing: central"
Warning,2026-06-17 05:08:14,2026-06-17 07:03:11,RESOLVED,LMU,Network code BW missing in central routing for webservice station,1h 54m 57s,No,Actions (8),"format: xml, routing: central"
Warning,2026-06-17 05:08:13,2026-06-17 07:03:10,RESOLVED,KOERI,Network code KO missing in central routing for webservice station,1h 54m 57s,No,Actions (8),"format: xml, routing: central"
Warning,2026-06-17 05:08:12,2026-06-17 07:03:09,RESOLVED,GEOFON,Network code GE missing in central routing for webservice station,1h 54m 57s,No,Actions (10),"Application: routing_service, format: xml, node: odc, routing: central"
Warning,2026-06-16 17:08:30,2026-06-22 17:08:30,RESOLVED,EPOSFR,No new data usage statistics in central service,6d,No,Actions (4),"bytes, statistics: dataselect"
Average,2026-06-16 04:52:09,2026-06-16 04:54:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),2m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-16 01:09:09,2026-06-16 01:12:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),3m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-15 22:12:09,2026-06-15 22:17:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),5m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-15 12:33:17,2026-06-15 12:36:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),2m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-15 11:30:17,2026-06-15 11:32:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),1m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-15 11:20:09,2026-06-15 11:25:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),5m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Warning,2026-06-15 07:08:18,2026-06-16 07:03:15,RESOLVED,BGR,Network code GR missing in central routing for webservice station,23h 54m 57s,No,Actions (8),"format: xml, routing: central"
Warning,2026-06-14 17:02:45,2026-06-15 17:02:45,RESOLVED,NOA,NOA disapeared from EIDA central routing service,1d,No,Actions (6),"format: json, routing: central"
Average,2026-06-14 07:19:26,2026-06-15 05:09:15,RESOLVED,NOA,Routing Virtual Network configuration not present,21h 49m 49s,No,Actions (6),"routing: central, routing: _ADARRAY"
Warning,2026-06-14 07:08:23,2026-06-15 07:03:20,RESOLVED,UIB-NORSAR,Network code NS missing in central routing for webservice station,23h 54m 57s,No,Actions (6),"format: xml, routing: central"
Warning,2026-06-14 07:08:16,2026-06-15 07:03:13,RESOLVED,NOA,Network code HL missing in central routing for webservice station,23h 54m 57s,No,Actions (6),"format: xml, routing: central"
Warning,2026-06-14 05:13:31,2026-06-14 07:08:09,RESOLVED,NOA,Local routing information not published,1h 54m 38s,No,Actions (6),"Application: static_routing, format: xml, routing: local"
Warning,2026-06-13 09:13:24,2026-06-14 19:08:02,RESOLVED,UIB-NORSAR,Local datacenter registry information not published,1d 9h 54m,No,Actions (6),"Application: static_routing, format: json, routing: local"
Warning,2026-06-13 07:13:37,2026-06-14 19:08:15,RESOLVED,UIB-NORSAR,Local routing information not published,1d 11h 54m,No,Actions (6),"Application: static_routing, format: xml, routing: local"
Warning,2026-06-10 17:13:35,2026-06-10 19:08:13,RESOLVED,INGV,Local routing information not published,1h 54m 38s,No,Actions (6),"Application: static_routing, format: xml, routing: local"
Average,2026-06-10 17:10:17,2026-06-10 17:11:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 16:51:09,2026-06-10 16:56:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),5m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 16:26:17,2026-06-10 16:33:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),6m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 10:20:17,2026-06-10 10:51:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),30m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 10:13:09,2026-06-10 10:15:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),2m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 09:47:09,2026-06-10 09:54:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),7m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 09:32:09,2026-06-10 09:33:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),1m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 09:04:17,2026-06-10 09:06:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),1m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-10 03:22:17,2026-06-10 03:30:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),7m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-06-09 18:22:09,2026-06-09 18:23:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),1m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Warning,2026-06-08 23:13:27,2026-06-09 01:08:05,RESOLVED,GEOFON,Local routing information not published,1h 54m 38s,No,Actions (6),"format: xml, routing: local"
Warning,2026-06-08 23:13:14,2026-06-09 01:07:53,RESOLVED,GEOFON,Local datacenter registry information not published,1h 54m 39s,No,Actions (6),"format: json, routing: local"
Average,2026-06-08 14:07:04,2026-06-08 14:13:04,RESOLVED,IGN,"Station is not accessible, return code 502",6m,No,Actions (6),"healtcheck, webservice: station"
Information,2026-06-08 12:43:51,2026-06-09 00:43:51,RESOLVED,Zabbix server,Linux: System name has changed (new name: oculus-zabbix-zabbix-server-7664f9cb99-wjkx4),12h,No,,"class: os, component: system, scope: notice, scope: security, target: linux"
Warning,2026-06-07 16:11:41,2026-06-09 16:11:39,RESOLVED,BGR,BGR: CORS not present for webservice station,1d 23h 59m,No,Actions (8),"cors, webservice: station"
Warning,2026-06-03 05:08:13,2026-06-03 07:03:10,RESOLVED,KOERI,Network code KO missing in central routing for webservice station,1h 54m 57s,No,Actions (8),"format: xml, routing: central"
Warning,2026-06-01 16:05:09,2026-06-02 16:05:09,RESOLVED,IGN,IGN: CORS not present for webservice station,1d,No,Actions (6),"cors, webservice: station"
Warning,2026-06-01 16:05:08,2026-06-02 16:05:08,RESOLVED,IGN,IGN: CORS not present for webservice dataselect,1d,No,Actions (6),"cors, webservice: dataselect"
Warning,2026-06-01 16:05:07,2026-06-02 16:05:07,RESOLVED,IGN,IGN: CORS not present for webservice availability,1d,No,Actions (6),"cors, webservice: availability"
Average,2026-06-01 15:12:22,2026-06-02 09:36:22,RESOLVED,IGN,"Availability is not accessible, return code 502",18h 24m,No,Actions (6),"healtcheck, webservice: availability"
Average,2026-06-01 15:10:04,2026-06-02 09:37:04,RESOLVED,IGN,"Station is not accessible, return code 502",18h 27m,No,Actions (6),"healtcheck, webservice: station"
Average,2026-06-01 15:09:36,2026-06-02 09:36:36,RESOLVED,IGN,"Dataselect is not accessible, return code 502",18h 27m,No,Actions (6),"healtcheck, webservice: dataselect"
Warning,2026-06-01 05:08:19,2026-06-01 07:03:16,RESOLVED,BGS,Network code GB missing in central routing for webservice station,1h 54m 57s,No,Actions (8),"format: xml, routing: central"
Warning,2026-05-30 15:13:34,2026-05-30 17:08:12,RESOLVED,BGS,Local routing information not published,1h 54m 38s,No,Actions (8),"Application: static_routing, format: xml, routing: local"
Warning,2026-05-30 01:48:56,2026-06-01 12:15:56,RESOLVED,Zabbix server,Linux: High swap space usage (less than 50% free),2d 10h 27m,No,,"class: os, component: memory, component: storage, scope: capacity, target: linux"
Average,2026-05-29 04:22:17,2026-05-29 04:25:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),2m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-29 00:22:09,2026-05-29 00:36:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),14m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-28 18:07:09,2026-05-28 18:11:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),4m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-28 16:32:17,2026-05-28 16:36:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),3m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-28 16:24:09,2026-05-28 16:25:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),1m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-28 16:01:17,2026-05-28 16:02:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Warning,2026-05-28 15:20:56,2026-05-29 17:57:56,RESOLVED,Zabbix server,Linux: High swap space usage (less than 50% free),1d 2h 37m,No,,"class: os, component: memory, component: storage, scope: capacity, target: linux"
Average,2026-05-28 13:21:09,2026-05-28 15:33:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),2h 12m,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-27 10:20:17,2026-05-27 10:21:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
Average,2026-05-27 03:19:17,2026-05-27 03:29:09,RESOLVED,Zabbix server,Linux: Load average is too high (per CPU load over 1.5 for 5m),9m 52s,No,,"class: os, component: cpu, scope: capacity, scope: performance, target: linux"
