"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-06-22 15:31:02","2026-06-22 15:34:02","RESOLVED","KOERI","Station is not accessible, return code 503","3m","No","Actions (8)","healtcheck, webservice: station"
"Average","2026-06-21 23:03:20","2026-06-21 23:06:20","RESOLVED","KOERI","Availability is not accessible, return code 503","3m","No","Actions (8)","healtcheck, webservice: availability"
"Average","2026-06-08 14:07:04","2026-06-08 14:13:04","RESOLVED","IGN","Station is not accessible, return code 502","6m","No","Actions (6)","healtcheck, webservice: station"
"Warning","2026-06-07 16:11:41","2026-06-09 16:11:39","RESOLVED","BGR","BGR: CORS not present for webservice station","1d 23h 59m","No","Actions (8)","cors, webservice: station"
"Warning","2026-06-01 16:05:09","2026-06-02 16:05:09","RESOLVED","IGN","IGN: CORS not present for webservice station","1d","No","Actions (6)","cors, webservice: station"
"Warning","2026-06-01 16:05:08","2026-06-02 16:05:08","RESOLVED","IGN","IGN: CORS not present for webservice dataselect","1d","No","Actions (6)","cors, webservice: dataselect"
"Warning","2026-06-01 16:05:07","2026-06-02 16:05:07","RESOLVED","IGN","IGN: CORS not present for webservice availability","1d","No","Actions (6)","cors, webservice: availability"
"Average","2026-06-01 15:12:22","2026-06-02 09:36:22","RESOLVED","IGN","Availability is not accessible, return code 502","18h 24m","No","Actions (6)","healtcheck, webservice: availability"
"Average","2026-06-01 15:10:04","2026-06-02 09:37:04","RESOLVED","IGN","Station is not accessible, return code 502","18h 27m","No","Actions (6)","healtcheck, webservice: station"
"Average","2026-06-01 15:09:36","2026-06-02 09:36:36","RESOLVED","IGN","Dataselect is not accessible, return code 502","18h 27m","No","Actions (6)","healtcheck, webservice: dataselect"
"Average","2026-05-26 13:34:08","2026-05-26 13:40:08","RESOLVED","BGS","Station is not accessible, return code 400","6m","No","Actions (8)","healtcheck, webservice: station"
"Average","2026-05-26 13:33:40","2026-05-26 13:39:40","RESOLVED","BGS","Dataselect is not accessible, return code 400","6m","No","Actions (8)","healtcheck, webservice: dataselect"
"Average","2026-05-25 08:07:06","2026-05-25 08:10:06","RESOLVED","NIEP","Station is not accessible, return code 502","3m","No","Actions (6)","healtcheck, webservice: station"
"Average","2026-05-25 08:06:38","2026-05-25 08:09:38","RESOLVED","NIEP","Dataselect is not accessible, return code 502","3m","No","Actions (6)","healtcheck, webservice: dataselect"
"Average","2026-05-11 14:37:01","2026-05-11 14:40:01","RESOLVED","GEOFON","Station is not accessible, return code 502","3m","No","Actions (6)","healtcheck, webservice: station"
"Average","2026-05-11 14:36:33","2026-05-11 14:39:33","RESOLVED","GEOFON","Dataselect is not accessible, return code 502","3m","No","Actions (6)","healtcheck, webservice: dataselect"
"Average","2026-05-06 15:22:00","2026-05-06 15:55:00","RESOLVED","EPOSFR","SeedPSD is not accessible, return code 404","33m","No","Actions (4)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:21:57","2026-05-06 15:54:57","RESOLVED","ICGC","SeedPSD is not accessible, return code 404","33m","No","Actions (6)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:21:48","2026-05-06 15:57:48","RESOLVED","KOERI","SeedPSD is not accessible, return code 404","36m","No","Actions (10)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:18:59","2026-05-06 15:54:59","RESOLVED","ETH","SeedPSD is not accessible, return code 404","36m","No","Actions (10)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:18:58","2026-05-06 15:54:58","RESOLVED","UIB-NORSAR","SeedPSD is not accessible, return code 404","36m","No","Actions (6)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:18:53","2026-05-06 15:57:53","RESOLVED","BGR","SeedPSD is not accessible, return code 404","39m","No","Actions (8)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:18:50","2026-05-06 15:57:50","RESOLVED","IGN","SeedPSD is not accessible, return code 301","39m","No","Actions (6)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:18:49","2026-05-06 15:57:49","RESOLVED","LMU","SeedPSD is not accessible, return code 404","39m","No","Actions (8)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 15:18:47","2026-05-06 15:57:47","RESOLVED","GEOFON","SeedPSD is not accessible, return code 301","39m","No","Actions (6)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 14:33:51","2026-05-08 10:21:51","RESOLVED","NOA","SeedPSD is not accessible, return code 503","1d 19h 48m","No","Actions (6)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 14:32:56","2026-06-03 10:54:56","RESOLVED","ODC","SeedPSD is not accessible, return code 404","27d 20h 22m","No","Actions (6)","healtcheck, webservice: seedpsd"
"Average","2026-05-06 14:32:52","2026-05-12 09:48:52","RESOLVED","NIEP","SeedPSD is not accessible, return code 302","5d 19h 16m","No","Actions (6)","healtcheck, webservice: seedpsd"
"High","2026-05-04 15:02:43","2026-05-04 15:16:16","RESOLVED","NIEP","Station application.wadl not found, return code 502","13m 33s","No","Actions (6)","webservice: station"
"High","2026-05-03 01:02:02","2026-05-03 01:16:12","RESOLVED","NIEP","Dataselect short request failed, return code 502","14m 10s","No","Actions (6)","webservice: dataselect"
"Warning","2026-04-30 16:22:30","2026-05-04 16:22:30","RESOLVED","UIB-NORSAR","UIB-NORSAR: CORS not present for webservice wfcatalog","4d","No","Actions (6)","cors, webservice: wfcatalog"
